id,name,alias
251,AMERICAN BEAUTY ACADEMY-WEST VALLEY CAMPUS,
252,CHAMBERLAIN UNIVERSITY-NORTH CAROLINA,CHAMBERLAIN COLLEGE OF NURSING-CHARLOTTE
253,SPARTAN COLLEGE OF AERONAUTICS AND TECHNOLOGY,INLAND EMPIRE CAMPUS
254,CHAMBERLAIN UNIVERSITY-OHIO,CHAMBERLAIN COLLEGE OF NURSING–COLUMBUS CHAMBERLAIN COLLEGE OF NURSING-CLEVELAND
255,THE UNIVERSITY OF TEXAS SYSTEM OFFICE,
256,DEFIANCE COLLEGE,
257,BOWLING GREEN STATE UNIVERSITY-FIRELANDS,BGSU-FIRELANDS
258,KENT STATE UNIVERSITY AT GEAUGA,
259,UNION INSTITUTE & UNIVERSITY,"UNION, UI&U"
260,PURDUE UNIVERSITY GLOBAL,
261,PIMA MEDICAL INSTITUTE-DILLON,
262,ARTHUR'S BEAUTY COLLEGE,ARTHUR'S BEAUTY COLLEGE
263,NORTHEASTERN OKLAHOMA A&M COLLEGE,NEO A&M COLLEGE
264,UNITED THEOLOGICAL SEMINARY,
265,AMERICAN INSTITUTE OF MEDICAL SCIENCES & EDUCATION,AIMS EDUCATION
266,NEW YORK THEOLOGICAL SEMINARY,NYTS
267,AVIATION INSTITUTE OF MAINTENANCE-ORLANDO,
268,PROFILE INSTITUTE OF BARBER-STYLING,PROFILE
269,PACIFIC RIM CHRISTIAN UNIVERSITY,
270,MIDWESTERN CAREER COLLEGE,
271,L'ESPRIT ACADEMY,
272,MARKETTI ACADEMY OF COSMETOLOGY,
273,CITY VISION UNIVERSITY,"TECHMISSION, INC"
274,HUSSIAN COLLEGE-DAYMAR COLLEGE NASHVILLE,HUSSIAN COLLEGE - DAYMAR COLLEGE NASHVILLE
275,WATKINS COLLEGE OF ART DESIGN & FILM,
276,TENNESSEE COLLEGE OF APPLIED TECHNOLOGY NASHVILLE,TCAT NASHVILLE
277,NORTHEAST MISSISSIPPI COMMUNITY COLLEGE,
278,SAINT LOUIS COMMUNITY COLLEGE,ST LOUIS COMMUNITY COLLEGE
279,UNIVERSITY OF NEVADA-LAS VEGAS,UNLV
280,NORTHWEST TECHNOLOGY CENTER-ALVA,
281,TONI & GUY HAIRDRESSING ACADEMY-PLANO,TONI&GUY HAIRDRESSING ACADEMY - DALLAS
282,OREGON HEALTH & SCIENCE UNIVERSITY,OHSU| OREGON HEALTH AND SCIENCES UNIVERSITY
283,OREGON STATE UNIVERSITY,
284,UNIVERSITY OF OREGON,UO
285,PHAGANS CENTRAL OREGON BEAUTY COLLEGE,
286,PHAGANS SCHOOL OF HAIR DESIGN,
287,SUMMIT SALON ACADEMY-PORTLAND,SUMMIT SALON ACADEMY-PDX
288,GRANITE STATE COLLEGE,GSC
289,OCEAN COUNTY COLLEGE,OCC
290,RUTGERS UNIVERSITY-NEW BRUNSWICK,"RUTGERS, THE STATE UNIVERSITY OF NEW JERSEY|RUTGERS, THE STATE UNIVERSITY|RUTGERS UNIVERSITY|RUTGERS, NEW BRUNSWICK |RUTGERS UNIVERSITY-NEW BRUNSWICK|RUTGERS-NEW JERSEY|RUTGERS, THE STATE UNIVERSITY NEW BRUNSWICK/PISCATAWAY|RUTGERS, NEW BRUNSWICK|RUTGERS|RU|RUTGERS, NEW JERSEY"
291,RUTGERS UNIVERSITY-NEWARK,RUTGERS UNIVERSITY-NEWARK; RUTGERS UNIVERSITY; NEWARK; RUTGERS; RU-NEWARK
292,CENTRAL NEW MEXICO COMMUNITY COLLEGE,CNM
293,ERIE COMMUNITY COLLEGE,
294,SUNY MORRISVILLE,
295,TEXAS SOUTHMOST COLLEGE,
296,PARKER UNIVERSITY,
297,SOUTHERN METHODIST UNIVERSITY,SMU
298,UNIVERSAL TECHNICAL INSTITUTE OF TEXAS INC.,UNIVERSAL TECHNICAL INSTITUTE - HOUSTON
299,THE BEAUTY INSTITUTE-AMBLER,THE BEAUTY INSTITUTE
300,BUCKNELL UNIVERSITY,
301,BITTERROOT SCHOOL OF COSMETOLOGY,
302,NATIONAL CAREER INSTITUTE,
